Date,Open,High,Low,Close,Volume,Market Cap,Time Open,Time High,Time Low,Time Close
12-10-2023,22.007483834098185,22.01992583476791,21.068971190970718,21.300268133464275,283320977.02,8860821985.36,2023-10-12T00:00:00.000Z,2023-10-12T00:10:00.000Z,2023-10-12T17:19:00.000Z,2023-10-12T23:59:59.999Z
11-10-2023,22.105201840522163,22.391181592041523,21.679807760988723,22.007418627435687,278925381.19,9147948339.53,2023-10-11T00:00:00.000Z,2023-10-11T09:58:00.000Z,2023-10-11T18:14:00.000Z,2023-10-11T23:59:59.999Z
10-10-2023,22.11751740937839,22.458489150791745,21.738728253979136,22.105114666199505,241087145.63,9159889175.71,2023-10-10T00:00:00.000Z,2023-10-10T14:16:00.000Z,2023-10-10T17:58:00.000Z,2023-10-10T23:59:59.999Z
09-10-2023,23.244909474556717,23.353510705093797,21.814490443546546,22.118395607011035,356967743.04,9165103470.03,2023-10-09T00:00:00.000Z,2023-10-09T05:15:00.000Z,2023-10-09T16:47:00.000Z,2023-10-09T23:59:59.999Z
08-10-2023,23.289335404718482,23.61370689707024,23.144278687857252,23.246425931484254,190670413.77,9629543237.83,2023-10-08T00:00:00.000Z,2023-10-08T03:24:00.000Z,2023-10-08T13:16:00.000Z,2023-10-08T23:59:59.999Z
07-10-2023,23.42394950603494,24.10172286801048,23.117115843983793,23.287301925507606,278403509,9646499611.33,2023-10-07T00:00:00.000Z,2023-10-07T04:16:00.000Z,2023-10-07T19:55:00.000Z,2023-10-07T23:59:59.999Z
06-10-2023,22.69216708640254,23.70509139372647,22.69216708640254,23.42445434287395,402665505.67,9691360038.26,2023-10-06T00:00:00.000Z,2023-10-06T18:04:00.000Z,2023-10-06T00:00:00.000Z,2023-10-06T23:59:59.999Z
05-10-2023,23.146552076334885,23.717646890983506,22.628948033041297,22.694141075919166,361288780.77,9385601047.58,2023-10-05T00:00:00.000Z,2023-10-05T00:55:00.000Z,2023-10-05T19:07:00.000Z,2023-10-05T23:59:59.999Z
04-10-2023,23.55691513731179,23.754378069395088,22.692841862528432,23.144787392198296,429268874.65,9568933689.26,2023-10-04T00:00:00.000Z,2023-10-04T10:02:00.000Z,2023-10-04T16:04:00.000Z,2023-10-04T23:59:59.999Z
03-10-2023,23.36992000757188,24.662073018563262,23.296711305815723,23.55269380654011,653491877.6,9737756476.21,2023-10-03T00:00:00.000Z,2023-10-03T13:25:00.000Z,2023-10-03T22:50:00.000Z,2023-10-03T23:59:59.999Z
02-10-2023,23.837954735185317,24.603423705765742,22.976022256650946,23.37170098488308,658084027.74,9655253680.82,2023-10-02T00:00:00.000Z,2023-10-02T06:40:00.000Z,2023-10-02T22:11:00.000Z,2023-10-02T23:59:59.999Z
01-10-2023,21.39205922986256,24.39601902062701,21.170071800576512,23.836486259905374,637123111.49,9844132494.97,2023-10-01T00:00:00.000Z,2023-10-01T23:04:00.000Z,2023-10-01T03:26:00.000Z,2023-10-01T23:59:59.999Z
30-09-2023,20.299588941555996,21.729971028849814,20.124678535749833,21.39514669785395,328987953.94,8835648588.77,2023-09-30T00:00:00.000Z,2023-09-30T16:11:00.000Z,2023-09-30T05:40:00.000Z,2023-09-30T23:59:59.999Z
29-09-2023,19.959581029743912,20.415977074712135,19.875160896029517,20.300654718420176,219571068.72,8380989681.02,2023-09-29T00:00:00.000Z,2023-09-29T14:50:00.000Z,2023-09-29T00:49:00.000Z,2023-09-29T23:59:59.999Z
28-09-2023,19.12947472954639,19.96086454944828,19.110307744824684,19.957616664922824,225954937.67,8239387659.54,2023-09-28T00:00:00.000Z,2023-09-28T23:18:00.000Z,2023-09-28T00:08:00.000Z,2023-09-28T23:59:59.999Z
27-09-2023,19.022515454564914,19.44652468328708,18.774216482049937,19.130022538500302,210385138.99,7895214286.34,2023-09-27T00:00:00.000Z,2023-09-27T11:55:00.000Z,2023-09-27T18:10:00.000Z,2023-09-27T23:59:59.999Z
26-09-2023,19.40274530406706,19.50536515723587,18.941389217899207,19.023285633700922,170201882.91,7854277232.87,2023-09-26T00:00:00.000Z,2023-09-26T03:08:00.000Z,2023-09-26T23:05:00.000Z,2023-09-26T23:59:59.999Z
25-09-2023,19.374145755133164,19.70344035880143,19.217248868958343,19.40413989371326,163848455.59,8008991832.03,2023-09-25T00:00:00.000Z,2023-09-25T16:22:00.000Z,2023-09-25T00:43:00.000Z,2023-09-25T23:59:59.999Z
24-09-2023,19.473894809506728,19.657695790483764,19.308036874786122,19.374289830203384,115380618.6,7996690989.26,2023-09-24T00:00:00.000Z,2023-09-24T08:19:00.000Z,2023-09-24T23:37:00.000Z,2023-09-24T23:59:59.999Z
23-09-2023,19.438510982376357,19.558160321719356,19.313749404810892,19.473903706943613,97379052.96,8035151047.43,2023-09-23T00:00:00.000Z,2023-09-23T00:16:00.000Z,2023-09-23T16:07:00.000Z,2023-09-23T23:59:59.999Z
22-09-2023,19.478249769823588,19.77411323099956,19.22129607980923,19.438144599484588,170874160.69,8020415301.13,2023-09-22T00:00:00.000Z,2023-09-22T08:16:00.000Z,2023-09-22T21:11:00.000Z,2023-09-22T23:59:59.999Z
21-09-2023,20.304816363267545,20.304816363267545,19.37391516233866,19.479070002945214,253809694.68,8034772138.28,2023-09-21T00:00:00.000Z,2023-09-21T00:00:00.000Z,2023-09-21T13:48:00.000Z,2023-09-21T23:59:59.999Z
20-09-2023,20.036289771941686,20.483040384312908,19.853779509900125,20.304938196020522,233206126.31,8353797014.3,2023-09-20T00:00:00.000Z,2023-09-20T18:34:00.000Z,2023-09-20T06:52:00.000Z,2023-09-20T23:59:59.999Z
19-09-2023,19.657075228471808,20.358543919534196,19.614438261117915,20.036188918370325,253895801.27,8241979314.3,2023-09-19T00:00:00.000Z,2023-09-19T09:37:00.000Z,2023-09-19T00:32:00.000Z,2023-09-19T23:59:59.999Z
18-09-2023,18.832381218606688,20.100101540584447,18.651571963257904,19.657245643239555,316245106.23,8086129093.39,2023-09-18T00:00:00.000Z,2023-09-18T15:49:00.000Z,2023-09-18T00:42:00.000Z,2023-09-18T23:59:59.999Z
17-09-2023,19.13982815386987,19.13982815386987,18.712939966518235,18.83162904781111,112594680.34,7747279411.94,2023-09-17T00:00:00.000Z,2023-09-17T00:00:00.000Z,2023-09-17T20:58:00.000Z,2023-09-17T23:59:59.999Z
16-09-2023,19.169498117959478,19.416814101960135,18.91741554150762,19.14036881871417,146477835.8,7871634557.42,2023-09-16T00:00:00.000Z,2023-09-16T02:24:00.000Z,2023-09-16T13:47:00.000Z,2023-09-16T23:59:59.999Z
15-09-2023,18.83917974425164,19.406582132603724,18.59032997817857,19.16884440829861,205202282.04,7880984906.18,2023-09-15T00:00:00.000Z,2023-09-15T23:07:00.000Z,2023-09-15T18:55:00.000Z,2023-09-15T23:59:59.999Z
14-09-2023,18.403322103155606,19.267307003221546,18.403322103155606,18.838306385818555,349380171.83,7742901977.37,2023-09-14T00:00:00.000Z,2023-09-14T01:01:00.000Z,2023-09-14T00:00:00.000Z,2023-09-14T23:59:59.999Z
13-09-2023,17.930871849299397,18.50878798950788,17.739513818869135,18.403000197723333,356729875.42,7564030185.94,2023-09-13T00:00:00.000Z,2023-09-13T15:34:00.000Z,2023-09-13T05:47:00.000Z,2023-09-13T23:59:59.999Z
12-09-2023,17.73886441665894,18.655070522847595,17.60665674251369,17.92982682377823,361388393.12,7367465003.17,2023-09-12T00:00:00.000Z,2023-09-12T10:26:00.000Z,2023-09-12T02:02:00.000Z,2023-09-12T23:59:59.999Z
11-09-2023,18.246708315042426,18.413116528673676,17.461476830822296,17.739165637015883,380225620.52,7289139168.97,2023-09-11T00:00:00.000Z,2023-09-11T03:19:00.000Z,2023-09-11T14:13:00.000Z,2023-09-11T23:59:59.999Z
10-09-2023,19.446187645812685,19.446187645812685,17.870339823166457,18.24883147038913,520683203.95,7493159267.21,2023-09-10T00:00:00.000Z,2023-09-10T00:00:00.000Z,2023-09-10T17:27:00.000Z,2023-09-10T23:59:59.999Z
