Date,Open,High,Low,Close,Volume,Market Cap
20-07-2023,26.368727208245108,26.896438915230714,25.169426009501823,25.375167021867654,606255421.23,10222851458.71
19-07-2023,25.550882343119813,26.922087939364335,25.418063290904506,26.372352675103336,603189951.38,10621841829.37
18-07-2023,26.86900703606768,27.045597948662813,24.824852860712088,25.544505183091037,696782372.78,10288439896.25
17-07-2023,27.38576907142936,28.380918843914163,25.89573016260826,26.87276602845505,970813261.77,10819937533.95
16-07-2023,27.395526804037853,28.551088862853327,26.897700285850398,27.38408252399219,753056132.28,11027115845.23
15-07-2023,26.729034734012078,29.05739571686311,26.688867409866504,27.391355807196994,1323279744.12,11026259969.91
14-07-2023,26.020758717719993,30.057694769556043,25.434977550783252,26.73571735736089,2184090883.66,10771878238.84
13-07-2023,21.97846018688566,26.624344717155903,21.494825972320005,26.025696159757423,1527996471.77,10482410005.36
12-07-2023,22.092424986401387,22.712724444683708,21.82825496636551,21.97760171710532,541605988.18,8851975508.51
11-07-2023,21.314722230124904,22.285200675074847,21.242491745323175,22.092934125181564,453810523.28,8898487043.48
10-07-2023,21.347788194229132,21.777145811311733,20.572587052599932,21.313776373888693,543191862.88,8578537489.78
09-07-2023,21.854954852476837,22.322025267154622,21.087578124930356,21.34900444897445,405174805.99,8592737596.62
08-07-2023,21.485252579215118,22.403002214847508,21.356883400211228,21.859268067204297,693929962.8,8795273531.2
07-07-2023,19.726110860437725,21.601712317310273,19.31893097245581,21.48466511961152,988591308.04,8626410071.39
06-07-2023,18.99199181526779,20.922775965311303,18.886260924442503,19.72938570138885,903770570.51,7917567584.7
05-07-2023,19.145611592832573,19.355266239936615,18.498628886307458,18.992863789892844,260416080.97,7622014293.03
04-07-2023,19.242031173362562,19.876695772874953,19.096737779347894,19.143227796599888,345225951.49,7674364999.82
03-07-2023,19.45241255153131,19.61315889858259,18.943145829723317,19.240538158813482,324227812.44,7713395148.5
02-07-2023,18.689668093893662,19.704559524508554,18.582005108440224,19.45359493778034,497231249.56,7798827845.66
01-07-2023,18.896063737092188,18.971426805418172,17.945797592211157,18.68390346329707,349552752.22,7478509362.2
30-06-2023,17.971071105020467,19.855125510860958,17.314869986257566,18.89732120214787,1120379648.19,7560904894.88
29-06-2023,15.985511048792628,18.199754379508203,15.90637742627051,17.970457937635146,737633196.14,7187830074.82
28-06-2023,16.62190498525574,16.627329304137135,15.747582166233572,15.9868427933174,327399744.47,6395602649.97
27-06-2023,16.2698709083959,16.90989615223606,16.178588751457593,16.619650437661008,259041272.79,6646577822.35
26-06-2023,16.96964710461336,17.10167686403439,16.02097627526778,16.270028146622515,275948459.44,6506773329.19
25-06-2023,16.65147158722658,17.340683570210818,16.607138066590313,16.97137992993237,252839095.42,6784940723.33
24-06-2023,17.149273780439643,17.517596644043607,16.463317874014805,16.65286207525531,260480952.37,6657617788.79
23-06-2023,16.642969972712923,17.510692293532845,16.236747859563987,17.14953408891964,386994631.79,6856198787.76
22-06-2023,17.2571490765997,17.698504671797835,16.610345411202545,16.642621418136777,299233520.38,6651215930.82
21-06-2023,16.6354865241603,17.379573193172487,16.583469593254993,17.257046008329084,357788985.69,6896787708.7
20-06-2023,16.078037232567937,16.66510455581206,15.759370906714018,16.63523117813523,265787114.2,6645682933.39
19-06-2023,15.438766375646905,16.075370592083868,15.414377279968017,16.073042263167476,163949882.74,6421135737.27
18-06-2023,15.649474520227383,15.812690837579781,15.361244078162859,15.438235131799454,141612316.29,6165531218.9
17-06-2023,15.308581135546488,16.0657832149125,15.18542702543786,15.650521196381652,206436912.3,6250326737.37
16-06-2023,14.76041628041897,15.399172340279094,14.469566504921119,15.30825365793681,232544704.56,6110205516.2
15-06-2023,14.48628587073057,15.01039346481805,14.214147779738747,14.759472548997532,329864409.03,5891453448.75
14-06-2023,15.018189810056331,15.305150447312892,14.195953021801754,14.486572203796417,296502336.33,5781692703.49
13-06-2023,15.19628748921476,15.873086357217558,14.816584802896278,15.01819284972133,363876712.53,5991917041.84
12-06-2023,15.557231628289335,15.606237384403972,14.817189617299764,15.196707793255268,384209937.97,6063154425.17
11-06-2023,15.654449891128635,16.11569150052065,15.198492571126673,15.558775996028382,446176847.74,6199943622.36
10-06-2023,17.381353807840988,17.392957817604923,13.379448570224053,15.656101063735175,1230339924.26,6236086849.34
09-06-2023,18.90840438479575,19.299476859017712,17.161293241541866,17.37969924451599,463344687.38,6920369198.51
08-06-2023,18.635646520635483,19.07776515631322,18.294737085225844,18.90947646551486,258460306.53,7529520255.98
07-06-2023,20.399315130515113,20.48658428022376,18.54992056504279,18.63428257723072,390444801.3,7419967247.2
